459	391259.286332148	391258.068703083	393168.066772887	393177.728243147	9.7378964942141
0	391170.806174239	391165.855389661	393233.6572306	393232.850296853	5.0161150312414
1	391165.855389661	391163.480499237	393232.850296853	393228.885621775	4.6215530937966
2	391179.701066269	391175.83974795	393213.557318264	393212.825252119	3.9301017798796
3	391175.83974795	391170.566930016	393212.825252119	393211.897981378	5.3537314088760
4	391170.566930016	391169.021029142	393211.897981378	393211.622519061	1.5702512538357
5	391169.021029142	391164.638491997	393211.622519061	393208.828576117	5.1973790508811
6	391176.662772361	391167.889455755	393230.39175599	393227.734502572	9.1669013302291
7	391167.889455755	391164.7543443	393227.734502572	393224.05061208	4.8373518580073
8	391170.749281205	391170.546967965	393192.257600398	393192.74509435	0.5278077299016
9	391170.546967965	391170.343035251	393192.74509435	393193.411046637	0.6964775661444
10	391170.343035251	391169.487365936	393193.411046637	393196.17510507	2.8934735182964
11	391169.487365936	391166.377930344	393196.17510507	393192.487239118	4.8237894841434
12	391176.662772361	391177.983813012	393230.39175599	393225.941258423	4.6424214587808
13	391177.983813012	391179.369390015	393225.941258423	393221.716036373	4.4466082577937
14	391179.369390015	391177.81720622	393221.716036373	393221.211127011	1.6322401783862
15	391177.81720622	391177.448499978	393221.211127011	393221.055455218	0.4002224379857
16	391177.448499978	391177.214855297	393221.055455218	393220.910754966	0.2748235799138
17	391177.214855297	391176.906137116	393220.910754966	393220.687537392	0.3809632528328
18	391176.906137116	391176.22772623	393220.687537392	393220.091015247	0.9033714629355
19	391176.22772623	391175.700388807	393220.091015247	393219.651151357	0.6867059049451
20	391175.700388807	391175.304669123	393219.651151357	393219.375849827	0.4820632741050
21	391175.304669123	391174.871890922	393219.375849827	393219.115603736	0.5049999997848
22	391174.871890922	391174.49565696	393219.115603736	393218.941402684	0.4146058368561
23	391174.49565696	391173.852773698	393218.941402684	393218.700672315	0.6864765109874
24	391173.852773698	391171.761905217	393218.700672315	393217.959113824	2.2184769548868
25	391171.761905217	391166.578266368	393217.959113824	393217.912753472	5.1838461591974
26	391181.734771307	391181.60219475	393203.519112607	393204.147644727	0.6423621797444
27	391181.60219475	391170.168269408	393204.147644727	393201.841821091	11.664110397507
28	391170.168269408	391167.444512668	393201.841821091	393202.185817052	2.7453932324386
29	391169.548457371	391168.762147043	393282.132214174	393281.613281125	0.9421122229717
30	391168.762147043	391168.499238133	393281.613281125	393281.397213362	0.3403033548410
31	391168.499238133	391168.498971369	393281.397213362	393281.2300718	0.1671417749205
32	391168.498971369	391168.566558753	393281.2300718	393281.046449367	0.1956661758832
33	391168.566558753	391168.973822971	393281.046449367	393280.44524727	0.7261598342557
34	391168.973822971	391173.961421361	393280.44524727	393272.618131517	9.2811571861192
35	391173.961421361	391174.27135701	393272.618131517	393272.28947228	0.4517488239328
36	391174.27135701	391174.544639252	393272.28947228	393272.031222757	0.3760000000418
37	391174.544639252	391174.816609297	393272.031222757	393271.844382465	0.3299651499083
38	391174.816609297	391175.048825937	393271.844382465	393271.762526299	0.2462214447816
39	391175.048825937	391175.278770844	393271.762526299	393271.786006923	0.2311406499545
40	391175.278770844	391175.420822509	393271.786006923	393271.790731801	0.1421302221066
41	391175.420822509	391175.750358323	393271.790731801	393271.919600524	0.3538375330640
42	391175.750358323	391178.139700989	393271.919600524	393273.503111377	2.8664376847854
43	391178.139700989	391181.036596537	393273.503111377	393275.424253793	3.4760310698778
44	391181.036596537	391181.244031685	393275.424253793	393275.543302773	0.2391693961769
45	391181.244031685	391181.499923518	393275.543302773	393275.624815775	0.2685609801247
46	391181.499923518	391181.937180633	393275.624815775	393275.621619661	0.4372687959285
47	391181.937180633	391182.732337818	393275.621619661	393275.644815594	0.7954954431479
48	391170.749281205	391170.677812758	393192.257600398	393192.110199941	0.1638128007645
49	391170.677812758	391170.673418648	393192.110199941	393191.937716522	0.1725393803615
50	391170.673418648	391170.771530469	393191.937716522	393191.796335947	0.1720883394227
51	391170.771530469	391170.96675579	393191.796335947	393191.352891713	0.4845159587788
52	391170.96675579	391170.53028457	393191.352891713	393186.327758792	5.0440527354524
53	391170.749281205	391170.844013118	393192.257600398	393192.322004316	0.1145512985696
54	391170.844013118	391171.170311931	393192.322004316	393192.543840032	0.3945655841475
55	391171.170311931	391172.423422953	393192.543840032	393193.227329435	1.4273909764018
56	391172.423422953	391173.084474276	393193.227329435	393193.539085989	0.7308768706314
57	391173.084474276	391173.538516698	393193.539085989	393193.688730499	0.4780669408490
58	391173.538516698	391174.233562036	393193.688730499	393193.863704719	0.7167314699941
59	391174.233562036	391175.748020164	393193.863704719	393194.059647519	1.5270812030274
60	391175.748020164	391179.009653703	393194.059647519	393194.417362003	3.2811907897406
61	391179.009653703	391179.352870546	393194.417362003	393194.482255754	0.3492978670866
62	391179.352870546	391179.693893522	393194.482255754	393194.594395532	0.3589874650782
63	391179.693893522	391180.142887659	393194.594395532	393194.781650077	0.4864771319966
64	391180.142887659	391183.604722452	393194.781650077	393196.462274028	3.8482199780134
65	391183.604722452	391183.432402678	393196.462274028	393197.037707687	0.6006812799628
66	391183.432402678	391183.395461702	393197.037707687	393197.175051651	0.1422251734653
67	391183.395461702	391182.398103758	393197.175051651	393200.899617415	3.8557895430500
68	391182.398103758	391181.734771307	393200.899617415	393203.519112607	2.7021778255098
69	391170.806174238	391175.348797361	393233.6572306	393234.981860422	4.7318145568033
70	391175.348797361	391175.565669732	393234.981860422	393234.184604896	0.8262263612871
71	391175.565669732	391176.662772361	393234.184604896	393230.39175599	3.9483334458121
