1	390521.373659665	393076.011713585
2 	390872.663000000	392887.379
3	391345.770032377	393443.477848486
4	391473.594781642	393196.573360726
5	391119.155694785	393041.561424475
6	390907.824588223	393216.094976431
7	390681.470017479	393393.101202876
8	391490.447040648	393343.075914612
9	390769.108785538	392612.135541754
10	390723.199145596	393168.714087916
11	390761.214566296	392790.9382466
12	390625.018231381	392582.462945327
13	391259.286332148	393168.066772887
14	391413.222662433	393503.295406964
